type,name,description,date,time
type,Pronites,qwd,12e,
event,"Alfaaz: Bezubaan shabdo ki meethi Aavaj
","Alfaaz is the fest's only blockbuster Hindi dance and drama show. It strives to tell you an engaging story sprinkled with plenty of breathtaking dances. The unrivalled performance of the actors will transport you to another world as you laugh and cry along with them. The unbridled energy of the dancers will make you want to jump off your seats and shake a leg!
",,
event,"Dreamz: Dare to Dream, Dream to Dance 
","Where the stars descend upon the dance floor - May it be Contemporary or Bollywood, Hip Hop or Jive. Come, experience the Beauty of Motion in all its forms at this Main Stage event, where the finest of the dancers right from the Fresher’s to Interns put their best foot forward! Grab a good seat or you'll miss the Story in Motion!",,
event,Apurvai,"A Marathi dance and drama and the biggest main stage event of Aavishkaar, is set to step into its 16th year of glory. Dr. Amol Kolhe, the esteemed Marathi actor, an alumnus is the patron who has great contribution each year. It is a theatrical extravaganza which has been graced by the presence of influential and prodigious personalities from field of theatre and film industry. So grab your seat at the earliest, you are sure to be captivated!
",,
,,,,
,,,,
type,Competitions,weq,,
event,Fahrenheit,"If you thought medical students and ramps do not go together, then think again.  Setting ramps and hearts on fire, Fahrenheit is set to take the competition to a whole new level with better costumes and glamorous walks. So brace yourself, because it is going to get hot 
",,
event,Decibel,"Words make you think through. Music makes you feel a feeling. A song makes you feel the thought. A band makes you live the feeling. Join this battle of bands, show your  college pride and be the .Next person to raise the DECIBEL.",,
,,,,
,,,,
type,Informals,qwe,,
event,PAINTBALL,"Paintball gives you a chance to experience real life war scenario. Hide behind the defense or tear across the battle field with the gun in your hand, the choice is yours to make. No other adventure sports will give you the adrenaline rush in a more combat form better than paintball. You could be a cop or the bad guy, the ultimate goal is to wipe out the enemy and establish victory. Put yourself to test and see where you stand..!!
",,
,,,,
,,,,
,,,,
type,Excelsior,qwe,,
event,Football,"A full ground 11 vs 11 football tournament is organized at a lush green venue at the Bombay Veterinary College with 32 teams participating in a knockout format.
",,
,,,,
,,,,
type,Highlights,qwe,,
event,GMK,"Put on your thinking caps and running shoes, because this is no ordinary quest. A set of ultra-clever clues await you as the clock ticks away. Can you solve them all and be the ultimate champions of this one-of-a-kind race? Oh and that's not all, a scavenger hunt for the quirkiest items will leave you panting but still grinning with joy as you and your teammates try to get them all. Mumbai -  a city which is commonly referred to as THE CITY OF DREAMS, a city which is difficult  to explore entirely - such is the greatness of this city. With the GREAT MUMBAI KHOJ, we provide you an opportunity to know your city better and appreciate its vastness. So, put your knowledge of this crazy city to the test with an even crazier race. 'Not all who wander are lost', some are in the Great Mumbai Khoj. So get on board with GMK and start your expedition in search of a new MUMBAI..!! 
",,
